Real GDP growth (Annual percent change),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Grenada,5.1,-2,3.4,9.5,-0.6,13.3,-4,6.1,0.9,-6.6,-0.5,0.8,-1.2,2.4,7.3,6.4,3.7,4.4,4.1,3,-11.8
Guatemala,2.5,2.4,4.2,2.6,3,3.1,5.6,6,3.7,0.6,2.8,4.4,3.1,3.5,4.4,4.1,2.7,3,3.2,3.8,-2
Guinea,2.5,3.7,5.2,1.2,2.3,3,2.5,6.5,4.1,-1.5,4.2,5.6,5.9,3.9,3.7,3.8,10.8,10.3,6.2,5.6,1.4
Guinea-Bissau,1.1,4.8,3.7,-0.3,1.2,6.6,2.7,2.6,4.5,2.4,5.6,8.1,-1.7,3.3,1,6.1,5.3,4.8,3.4,4.5,-2.9
Guyana,-1.3,2.3,1.1,-0.7,1.6,-1.9,5.1,7,2,3.3,4.4,5.4,5,3.7,1.7,0.7,3.8,3.7,4.4,5.4,26.2
Haiti,0.9,-1,-0.3,0.4,-3.5,1.8,2.2,3.3,0.8,3.1,-5.5,5.5,2.9,4.2,2.8,1.2,1.5,1.2,1.5,-1.2,-4
Honduras,7.3,2.7,3.8,4.5,6.2,6.1,6.6,6.2,4.2,-2.4,3.7,3.8,4.1,2.8,3.1,3.8,3.9,4.8,3.7,2.7,-6.6
Hong Kong SAR,7.7,0.6,1.7,3.1,8.7,7.4,7,6.5,2.1,-2.5,6.8,4.8,1.7,3.1,2.8,2.4,2.2,3.8,2.8,-1.2,-7.5
Hungary,4.5,4.1,4.7,4.1,4.8,4.2,4,0.2,1.1,-6.7,0.7,1.8,-1.5,2,4.2,3.8,2.2,4.3,5.1,4.9,-6.1
Iceland,4.9,3.9,0.7,2.3,8,6.3,5.2,9.4,2,-6.8,-3.4,1.9,1.3,4.1,2.1,4.7,6.6,4.5,3.9,1.9,-7.2
India,4,4.9,3.9,7.9,7.8,9.3,9.3,9.8,3.9,8.5,10.3,6.6,5.5,6.4,7.4,8,8.3,7,6.1,4.2,-10.3
Indonesia,5,3.6,4.5,4.8,5,5.7,5.5,6.3,7.4,4.7,6.4,6.2,6,5.6,5,4.9,5,5.1,5.2,5,-1.5
Iran,6.9,0.8,10.3,9.2,4,5.1,5.3,6.7,-0.1,0,5.7,3.1,-7.7,-0.3,3.2,-1.6,12.5,3.7,-5.4,-6.5,-5
Iraq,-4.3,-6.6,-7.8,81.8,53.4,1.7,5.6,1.9,8.2,3.4,6.4,7.5,13.9,7.6,0.7,2.5,15.2,-2.5,-0.1,4.4,-12.1
Ireland,8.3,6.1,5.8,3.7,6.4,5.5,5,5.6,-4.6,-5,1.5,0.3,0,1.6,8.5,25.4,1.7,9.4,9.3,5.9,-3
Israel,8.8,0.2,-0.2,1.1,4.9,4.1,5.8,6.1,3.3,1,5.6,4.9,2.3,4.3,3.9,2.2,3.8,3.6,3.5,3.4,-5.9
Italy,3.8,2,0.3,0.1,1.4,0.8,1.8,1.5,-1,-5.3,1.7,0.7,-3,-1.8,0,0.8,1.3,1.7,0.8,0.3,-10.6
Jamaica,0.8,1.3,0.7,3.7,1.3,0.9,2.9,1.4,-0.8,-3.4,-1.4,1.4,-0.5,0.2,0.6,0.9,1.5,0.7,1.9,0.9,-8.6
Japan,2.8,0.4,0.1,1.5,2.2,1.7,1.4,1.7,-1.1,-5.4,4.2,-0.1,1.5,2,0.4,1.2,0.5,2.2,0.3,0.7,-5.3
Jordan,4.3,4.8,7,3.9,8.1,8.4,8.9,8,6.9,5,2.3,2.7,2.4,2.6,3.4,2.5,2,2.1,1.9,2,-5
Kazakhstan,9.8,13.5,9.8,9.3,9.6,9.7,10.7,8.9,3.3,1.2,7.3,7.4,4.8,6,4.2,1.2,1.1,4.1,4.1,4.5,-2.7
Kenya,0.3,4,0.5,2.9,4.6,5.7,5.9,6.9,0.2,3.3,8.4,6.1,4.6,5.9,5.4,5.7,5.9,4.8,6.3,5.4,1
Kiribati,6,-1.4,4,2,-1.6,5,0,2,-2.1,0.8,-0.9,1.6,4.7,4.2,-0.7,10.4,5.1,0.9,2.3,2.3,-1.1
"Korea, Republic of",9.1,4.9,7.7,3.1,5.2,4.3,5.3,5.8,3,0.8,6.8,3.7,2.4,3.2,3.2,2.8,2.9,3.2,2.9,2,-1.9
Kosovo,no data,11.1,-0.2,5.7,2.9,3.8,3.4,8.3,4.5,3.6,3.3,4.4,2.8,3.4,1.2,4.1,4.1,4.2,3.8,4,-7.5
Kuwait,4.7,0.2,3,17.3,10.8,10.1,7.5,6,2.5,-7.1,-2.4,9.6,6.6,1.2,0.5,0.6,2.9,-4.7,1.2,0.4,-8.1
Kyrgyz Republic,5.4,5.3,0,7,7,-0.2,3.1,8.5,7.6,2.9,-0.5,6,-0.1,10.9,4,3.9,4.3,4.7,3.5,4.5,-12
Lao P.D.R.,6.4,4.8,6.8,6.2,7.2,6.9,9,7.9,7.8,7.4,8,8,7.8,8,7.6,7.3,7,6.8,6.3,5.2,0.2
Latvia,5.6,6.3,7.1,8.4,8.3,10.7,11.9,10,-3.3,-14.2,-4.5,6.3,4.1,2.3,1.9,3.3,1.8,3.8,4.3,2.2,-6
Lebanon,1.1,3.9,3.4,1.7,7.5,2.7,1.5,9.3,9.1,10.2,8,0.9,2.5,3.8,2.5,0.2,1.5,0.9,-1.9,-6.9,-25
Lesotho,4.9,3.3,1.6,4.1,2.4,3.1,4.4,5,8.4,3.2,6.4,5.7,6.1,3.9,2.8,3.3,3.4,-1,0.4,1,-4.8
Liberia,no data,2.8,4.4,-29,4,5.9,8.5,13.1,6.1,5.2,6.4,7.7,8.4,8.8,0.7,0,-1.6,2.5,1.2,-2.5,-3
Libya,3.7,-1.8,-1,13,4.5,11.9,6.5,6.4,-18.1,-3,3.2,-66.7,124.7,-36.8,-53,-13,-7.4,64,17.9,9.9,-66.7
Lithuania,3.8,6.5,6.8,10.5,6.5,7.7,7.4,11.1,2.6,-14.8,1.5,6,3.8,3.6,3.5,2,2.6,4.2,3.6,3.9,-1.8
